Nazwa,Ciekawostka
Delfin butlonosy,Delfiny śpią z jednym okiem otwartym i tylko połową mózgu na raz.
Ośmiornica,Ośmiornica ma trzy serca i niebieską krew.
Żółw morski,Żółwie morskie wracają składać jaja na tę samą plażę na której się wykluły.
Konik morski,U koników morskich to tata nosi jajeczka w specjalnej torbie na brzuchu.
Krab pustelnik,Krab pustelnik mieszka w pustych muszlach i przeprowadza się gdy urośnie.
Płaszczka,Płaszczki potrafią "latać" pod wodą machając płetwami jak skrzydłami.
Rekin wielorybi,Rekin wielorybi to największa ryba świata a żywi się maleńkim planktonem.
Meduza,Meduza nie ma mózgu serca ani kości a jej ciało to w ponad 95% woda.
Rozgwiazda,Gdy rozgwiazda straci ramię potrafi wyhodować sobie nowe.
Pingwin cesarski,Tata pingwina cesarskiego trzyma jajo na stopach przez całą mroźną zimę.
Płetwal błękitny,Płetwal błękitny ma serce wielkie jak mały samochód.
Wydra morska,Wydry morskie śpią na wodzie trzymając się za łapki żeby nie odpłynąć od siebie.
Krewetka pistoletowa,Krewetka pistoletowa strzela szczypcami tak głośno że ogłusza małe rybki.
Mątwa,Mątwa potrafi zmienić kolor skóry w ułamku sekundy żeby się ukryć.
Papugoryba,Papugoryba zjada twarde koralowce a potem wytwarza z nich piasek na plażach.
Albatros wędrowny,Albatros wędrowny potrafi przelecieć tysiące kilometrów prawie nie machając skrzydłami.
